x,t,z
0.5,1.8,2.613604682
0.5,2,2.847392421
0.75,0,0.75
0.75,0.2,0.845104393
0.75,0.4,0.94402566
0.75,0.6,1.050733858
0.75,0.8,1.218261301
0.75,1,1.523712637
0.75,1.2,1.810048888
0.75,1.4,2.080735033
0.75,1.6,2.338607953
0.75,1.8,2.585990292
0.75,2,2.824783671
1,0,1
1,0.2,1.074067376
1,0.4,1.151107336
1,0.6,1.234211764
1,0.8,1.326715932
1,1,1.432332358
1,1.2,1.735233044
1,1.4,2.019481
1,1.6,2.288457393
1,1.8,2.544930487
1,2,2.791166745
1.25,0,0
1.25,0.2,0.057683731
1.25,0.4,0.117682512
1.25,0.6,0.182404305
1.25,0.8,0.254446624
1.25,1,0.336700779
1.25,1.2,0.432467919
1.25,1.4,0.534320405
1.25,1.6,0.618733795
1.25,1.8,0.687845633
1.25,2,0.74442962
1.5,0,0
1.5,0.2,0.044924134
1.5,0.4,0.091651232
1.5,0.6,0.142056616
1.5,0.8,0.19816323
1.5,1,0.262222831
1.5,1.2,0.336806354
1.5,1.4,0.424907099
1.5,1.6,0.52505669
1.5,1.8,0.611149306
1.5,2,0.681635978
1.75,0,0
1.75,0.2,0.034986951
1.75,0.4,0.071378051
1.75,0.6,0.110633804
1.75,0.8,0.154329679
1.75,1,0.204219346
1.75,1.2,0.262305052
1.75,1.4,0.330917981
1.75,1.6,0.412811811
1.75,1.8,0.510022968
1.75,2,0.598840736
2,0,0
2,0.2,0.027247865
2,0.4,0.055589282
2,0.6,0.086161693
2,0.8,0.120192075
2,1,0.159046186
2,1.2,0.20428338
2,1.4,0.257719183
2,1.6,0.321498162
2,1.8,0.398179991
2,2,0.490842181
2.25,0,0
2.25,0.2,0.021220659
2.25,0.4,0.043292977
2.25,0.6,0.067102794
2.25,0.8,0.093605682
2.25,1,0.123865295
2.25,1.2,0.159096056
2.25,1.4,0.200711902
2.25,1.6,0.25038302
2.25,1.8,0.310102888
2.25,2,0.382268275
2.5,0,0
2.5,0.2,0.016526665
2.5,0.4,0.033716604
2.5,0.6,0.052259708
2.5,0.8,0.072900178
2.5,1,0.096466388
2.5,1.2,0.123904133
2.5,1.4,0.156314586
2.5,1.6,0.194998492
2.5,1.8,0.241508372
2.5,2,0.297710832
2.75,0,0
2.75,0.2,0.01287098
2.75,0.4,0.026258518
2.75,0.6,0.040699902
2.75,0.8,0.056774716
2.75,1,0.075128099
2.75,1.2,0.096496636
2.75,1.4,0.121737922
2.75,1.6,0.151864978
2.75,1.8,0.18808691
2.75,2,0.231857429
3,0,0
3,0.2,0.010023929
3,0.4,0.020450154
3,0.6,0.031697115
3,0.8,0.044216193
3,1,0.058509822
3,1.2,0.075151656
3,1.4,0.094809589
3,1.6,0.118272564
3,1.8,0.146482232
3,2,0.180570747
